text,label
Why Is The Pope Upset?  via @user #UnzippedTruth #PopeFrancis #SemST,0
We support Australia's Climate Roundtable which is providing a framework for sensible debate ahead of Paris @user #SemST,2
It's nights like this when I'm not so fond of my long hair. I just wanna chop it all off! #heatwave #pnwgirl #SemST,0
#Republican party will go down in history books as party that stood in the way of #gayrights and initiative to reverse #SemST,0
"RT @user @user We need degrowth - stop destroying our planet, BP. #SemST",2
"@user - #Wrong #century re the #IPCCreport & the involved #methodology I do have to say, ""regards Dion #peace #ideology #SemST",0
Thanks #MarcLevine & #Ilike_Mike for supporting legislation on #SemST,0
That awkward moment when a pro-coal PR campaign has over 100K more followers than you do: @user #greenwashing #SemST,2
"Attenborough: 'The real problem is global' i.e. not just me, or you, but us #SemST",2
#Technology is a sign of how far we have come! The #ideology of #capitalism is a sign of how far we have to go! #Methodology #SemST,0
@user I'm just happy he's telling the @user to wise up RE: #SemST,0
"Isn't CO2 impact on warming logarithmic, and at current levels, 390 ppm, incremental impact negligible? #NDP #SemST",2
@user Those items need to come back.  #SemST,0
Try to create the world you want to live in. @user #WithCompassion #SemST,0
@user wow that is certainly an extreme prognostication! #gop #libertarian #SemST,0
RT @user 700 people dead in Pakistan due to heatwave. #SemST,2
"Audio world, look out! There's a new sheriff in town   #audio #music #world #entrepreneur #love #life #SemST",0
@user @user i always said that Democrats would tax the weather if they could #SemST,0
#vatican will be destroyed the most vile creatures ever the creators of #islam #sodomising #children  #fakestine and #SemST,0
At the UN with crew now :) @user #SemST,0
@user @user @user @user @user I think we found something more dangerous to America than #SemST,0
@user @user @user @user Further proof of #SemST,0
And Onan cast his CO2 into the atmosphere and committed the sin of emission #bible #SemST,2
@user it's crazy. Oklahoma is bracing for more flooding rains (4th cycle this year) & Canada is burning. #SemST,2
Negative times a negative equals a positive...wonder if that applies to emotions too??? #manthoughts #sustainablehumans #SemST,0
Disappointed that we are basing decisions about our very real planet on a man made currency system. #SCOTUS #EPA #SemST,2
Rent a theatre and show the movie #ChasingIce to my friends and family to spread the message of global warming. #My1500 #SemST,2
#MainauDeclaration2015 60 years later..#LiNo15 Laureates and young scientists say it is time to act #SemST,2
RT @user @user Looks like a great event. Green is the way forward! #SemST,2
5-6 inches of rain in a day & from next day there is no rain at all. Temperature reaches 39 C in #Ahmedabad.  #environment #SemST,2
".@TonyAbbottMHR still boasting on international stage of removing Price on Carbon, which he refers to as ""toxic tax"" #auspol #SemST",0
@user @user Great news to arrest a regulatory agency's flagrant over reach. Pathetic how little #EPA knows of #SemST,2
Dear #seattleweather please stay exactly how you are right now. #thismorning #okaythanksbye #SemST,0
srsly weirds me out i have to wear #sunscreen for the morning #dogwalk getting a #tan at 9am? #wtf #SemST,2
It's hot af in #seattle. This is not normal! #hotAF #SemST,2
#PathtoPositive #LA region's green leaders United to find local solutions to #LACityHall #SemST,2
"Obamacare ""Doctors Should Warn Global Warmin cud Make Patients' Health Worse"" #Obama #PresidentObama #WhiteHouse #SemST",2
Tornado warnings for the UK this weekend.  And the government still chooses to ignore global warming #ukweather #SemST,2
#Tolerance... I wonder how much more #Mother #Earth has at #methodology levels re our #capitalistic #ideologies? #SemST,2
SA has played an instrumental role in rallying other BASIC countries to strengthen South-South cooperation on matters around #SemST,0
#KCA #VoteJKT48ID ENGIEgroup: #ENGIE 9 new #COP21 solutions and more here >  #SemST,0
".@msimire says children, women, elderly people especially at risk to health impacts of #ClimateReporting2015 #SemST",2
"@user #GOPClownCar a shame #gop considers ""HRC emails"" more disconcerting than #jobs #infrastructure #education #SemST",0
Anyone else agree we should switch to concrete? + Them new snazzy self-lit roads in Netherlands! #ElectricitySaving #Autobahn #SemST,2
@user @user You're proud of that? #ShoalLake #boilwater #FortChip #cancer #Vanuatu #BalaFalls #landscapingissues #SemST,0
"I love this Pope. I don't care what religion you are, this guy is awesome. #SemST",0
"If you have any remaining doubts about climate change, go watch @user on Netflix and proceed to shitting your pants. #SemST",2
"Being an engaged mom, means voting 4 the climate 2. Supporting only candidates who have a plan 2  act on #playin4climate #SemST",2
WHEN THE WELL IS DRY WE KNOW THE VALUE OF #WATER: Ben Franklin #ActOnClimate #EPA #SemST,2
"these days this I #know! I #implemented it years ago & simply walked away but I know, regards Dion #peace #Democracy! #Goal?? #SemST",0
Amazing interview with @user and David Attenborough #SemST,0
@user @user Some people r so guilt free #SemST,0
Tonight - Academy of Science talk Tech solutions for climate change with Prof. Barry Brook #cantorandballtowers #Canberra #SemST,2
"Road to #Paris2015 ""#ADP2015 co-chairs' new tool will be presented on July 24th"" @user at @user event on #SemST",0
So #Christian s...  Without beaches what is your God going to make sand people out of?  #RisingSeaLevel #SemST,2
"National announces plan to put out fire in pantry. Rest of the house can burn baby, burn. #sameoldshit #SemST",0
